t,p
27.4,0
27.5,0
27.6,0.164492197
27.7,0.064332078
27.8,0.213138737
27.9,0.052688493
28,0.032278585
28.1,0
28.2,0.068821232
28.3,0
28.4,0
28.5,0
28.6,0.106030748
28.7,0.063110232
28.8,0
28.9,0.009488
29,0.066958954
29.1,0.037719526
29.2,0.196875059
29.3,0
29.4,0.090313939
29.5,0.097297905
29.6,0
29.7,0.077219525
29.8,0.193719119
29.9,0.032679436
30,0
30.1,0.040624903
30.2,0.370301825
30.3,0.185500191
30.4,0
30.5,0.113747342
30.6,0
30.7,0
30.8,0.042237077
30.9,0
31,0.133351033
31.1,0.083109163
31.2,0.04663994
31.3,0.059863189
31.4,0
31.5,0
31.6,0.017338574
31.7,0.083268659
31.8,0
31.9,0.01042711
32,0.117579067
32.1,0
32.2,0
32.3,0
32.4,0
32.5,0.148730018
32.6,0
32.7,0.097139765
32.8,0.007809368
32.9,0.016481734
33,0.087320067
33.1,0.043575777
33.2,0
33.3,0
33.4,0.072788727
33.5,0.046052501
33.6,0.185362994
33.7,0.055710895
33.8,0
33.9,0
34,0.180589718
34.1,0
34.2,0.180791199
34.3,0.146566323
34.4,0.070576012
34.5,0
34.6,0
34.7,0.111268853
34.8,0
34.9,0.007062664
35,0
35.1,0
35.2,0.009573308
35.3,0
35.4,0.111845894
35.5,0.047220159
35.6,0
35.7,0
35.8,0
35.9,0
36,0
36.1,0.040999133
36.2,0
36.3,0.041310308
36.4,0.05560841
36.5,0
36.6,0.165157981
36.7,0
36.8,0.253423466
36.9,0
37,0
37.1,0.060696615
37.2,0
37.3,0
37.4,0
37.5,0.142205977
37.6,0
37.7,0.02970319
37.8,0.172274168
37.9,0.000121477
38,0.205536318
38.1,0
38.2,0
38.3,0
38.4,0
38.5,0.192534511
38.6,0.073803576
38.7,0.09834801
38.8,0
38.9,0
39,0.029602419
39.1,0
39.2,0.186726034
39.3,0
39.4,0.011081031
39.5,0.101257883
39.6,0.014050993
39.7,0.031233826
39.8,0
39.9,0
40,0.137493206
40.1,0.031984291
40.2,0.143563663
40.3,0.165749495
40.4,0.171833795
40.5,0.057224402
40.6,0.163666689
40.7,0.054757894
40.8,0
40.9,0
41,0
41.1,0
41.2,0.002273184
41.3,0.057678089
41.4,0
41.5,0.221886976
41.6,0.137876087
41.7,0.005741404
41.8,0.084589344
41.9,0.156515049
42,0.034838874
42.1,0.011784057
42.2,0.147131192
42.3,0.00075383
42.4,0
42.5,0.102099866
42.6,0
42.7,0.142071194
42.8,0.060347112
42.9,0
43,0.198158598
43.1,0.072341301
43.2,0.050232175
43.3,0
43.4,0
43.5,0.132287884
43.6,0.037941002
43.7,0.134530239
43.8,0.14600194
43.9,0
44,0.026284602
44.1,0.047410605
44.2,0
44.3,0
44.4,0.026824941
44.5,0.07459863
44.6,0.04259411
44.7,0
44.8,0
44.9,0.208558052
45,0
45.1,0
45.2,0.245579356
45.3,0.128324153
45.4,0.007818328
45.5,0
45.6,0
45.7,0.149563666
45.8,0
45.9,0
46,0
46.1,0
46.2,0.004731999
46.3,0
46.4,0
46.5,0
46.6,0.002422544
46.7,0.058398915
46.8,0
46.9,0
47,0
47.1,0.11907195
47.2,0.045810607
47.3,0.02001474
47.4,0
47.5,0.054789324
47.6,0.057581051
47.7,0
47.8,0
47.9,0.074454022
48,0
48.1,0
48.2,0.051661891
48.3,0
48.4,0.127022702
48.5,0.191249291
48.6,0.100436538
48.7,0
48.8,0
48.9,0
49,0
49.1,0
49.2,0.059041066
49.3,0.040478858
49.4,0
49.5,0.029830862
49.6,0
49.7,3.95914E-05
49.8,0
49.9,0
50,0.019763324
50.1,0.033573037
50.2,0
50.3,0.060382113
50.4,0.053599432
50.5,0
50.6,0
50.7,0.092898863
50.8,0
50.9,0
51,0
51.1,0
51.2,0
51.3,0
51.4,0.071668771
51.5,0.029473855
51.6,0
51.7,0
51.8,0.160374905
51.9,0.079270699
52,0
52.1,0.046295151
52.2,0
52.3,0.040463565
52.4,0
52.5,0
52.6,0
52.7,0.095546681
52.8,0
52.9,0
53,0.180357966
53.1,0
53.2,0
53.3,0.007652681
53.4,0.04986997
53.5,0
53.6,0.125162003
53.7,0.109946233
53.8,0.323260762
53.9,0.121339833
54,0.098994512
54.1,0.078130286
54.2,0.060914486
54.3,0.118016777
54.4,0.036877859
54.5,0
54.6,0
54.7,0
54.8,0.195996432
54.9,0.069574014
55,0
55.1,0.003271517
55.2,0
55.3,0
55.4,0
55.5,0.027846852
55.6,0
55.7,0.020830668
55.8,0.093291526
55.9,0
56,0
56.1,0.058669672
56.2,0.066580559
56.3,0
56.4,0
56.5,0.110068024
56.6,0
56.7,0
56.8,0
56.9,0.032828813
57,0
57.1,0.051119792
57.2,0
57.3,0.105269068
57.4,0.160490637
57.5,0
57.6,0
57.7,0
57.8,0
57.9,0
58,0.017746824
58.1,0
58.2,0.160051543
58.3,0
58.4,0
58.5,0.045917818
58.6,0.035269529
58.7,0.086517065
58.8,0
58.9,0.105741411
59,0
59.1,0.128284704
59.2,0
59.3,0.064001716
59.4,0
59.5,0
59.6,0
59.7,0
59.8,0
59.9,0.067141444
60,0.067243279
60.1,0
60.2,0
60.3,0.014796815
60.4,0.002204406
60.5,0
60.6,0.064729897
60.7,0
60.8,0
60.9,0.135222534
61,0
61.1,0
61.2,0
61.3,0.035251281
61.4,0
61.5,0.136054079
61.6,0
61.7,0.190010567
61.8,0.054699877
61.9,0
62,0.024479127
62.1,0.169045528
62.2,0
62.3,0
62.4,0
62.5,0
62.6,0
62.7,0.01384299
62.8,0.095000795
62.9,0.044485567
63,0
63.1,0.103322019
63.2,0
63.3,0.026181332
63.4,0.038242987
63.5,0.098636869
63.6,0.047356904
63.7,0
63.8,0
63.9,0
64,0.141894298
64.1,0.115521856
64.2,0.020385838
64.3,0.056124205
64.4,0
64.5,0.286913971
64.6,0.130177327
64.7,0
64.8,0.126452756
64.9,0
65,0
65.1,0.186202456
65.2,0
65.3,0.088181008
65.4,0.134141786
65.5,0.363891415
65.6,0.178840305
65.7,0.353750945
65.8,0.145425935
65.9,0
66,0.002750447
66.1,0.099212793
66.2,0.160020581
66.3,0.204002128
66.4,0.293090139
66.5,0.073315332
66.6,0.107107687
66.7,0.166587534
66.8,0.13322033
66.9,0.203195361
67,0
67.1,0
67.2,0.037652196
67.3,0
67.4,0
67.5,0
67.6,0.010915152
67.7,0
67.8,0
67.9,0.036825492
68,0
68.1,0.029020563
68.2,0
68.3,0
68.4,0.029875305
68.5,0
68.6,0.138341583
68.7,0.088803159
68.8,0.133597385
68.9,0
69,0
69.1,0
69.2,0
69.3,0
69.4,0
69.5,0.179336479
69.6,0
69.7,0
69.8,0.170848742
69.9,0
70,0.197656315
70.1,0
70.2,0
70.3,0.168170463
70.4,0
70.5,0
70.6,0
70.7,0.174833582
70.8,0
70.9,0.129458617
71,0.098227581
71.1,0.068172397
71.2,0.014440522
71.3,0
71.4,0
71.5,0
71.6,0.033947543
71.7,0.036862198
71.8,0
71.9,0
72,0
72.1,0.139976294
72.2,0
72.3,0.010277226
72.4,0.029075395
72.5,0.051310734
72.6,0
72.7,0.097956321
72.8,0.014342179
72.9,0
73,0
73.1,0.014038112
73.2,0
73.3,0.074836251
73.4,0.137279145
73.5,0.029718008
73.6,0.047036999
73.7,0.041452531
73.8,0
73.9,0.029800264
74,0
74.1,0
74.2,0
74.3,0.088531384
74.4,0.16078848
74.5,0
74.6,0
74.7,0
74.8,0.032145618
74.9,0.119129995
75,0
75.1,0.13385689
75.2,0
75.3,0
75.4,0
75.5,0
75.6,0
75.7,0
75.8,0
75.9,0.054034965
76,0
76.1,0
76.2,0
76.3,0.143039548
76.4,0.11180241
76.5,0
76.6,0.060322071
76.7,0
76.8,0.06750849
76.9,0
77,0
77.1,0
77.2,0.0975721
77.3,0
77.4,0.063372011
77.5,0.002029721
77.6,0.034169608
77.7,0
77.8,0.001201592
77.9,0.012500185
78,0.070264571
78.1,0.102134955
78.2,0.110757839
78.3,0.230468605
78.4,0.212272219
78.5,0
78.6,0
78.7,0.115729851
78.8,0.076776787
78.9,0.027378959
79,0.039654309
79.1,0
79.2,0
79.3,0.073061092
79.4,0
79.5,0
79.6,0
79.7,0.023422367
79.8,0
79.9,0
80,0
80.1,0
80.2,0
80.3,0
80.4,0
80.5,0
80.6,0.144973315
80.7,0.055482186
80.8,0.071245485
80.9,0.179463004
81,0
81.1,0
81.2,0.069815809
81.3,0
81.4,0.083976541
81.5,0
81.6,0.056005042
81.7,0
81.8,0
81.9,8.75255E-05
82,0.164601779
82.1,0.041891743
82.2,0
82.3,0
82.4,0.022537142
82.5,0
82.6,0.058481999
82.7,0.077347945
82.8,0
82.9,0
83,0.033685617
83.1,0.062842735
83.2,0.173698195
83.3,0
83.4,0
83.5,0.100961557
83.6,0.218503044
83.7,0
83.8,0
83.9,0
84,0.165401081
84.1,0
84.2,0
84.3,0.025604189
84.4,0.002554197
84.5,0
84.6,0
84.7,0.060633812
84.8,0
84.9,0.059249657
85,0
85.1,0.053098909
85.2,0.10864835
85.3,0
85.4,0.224769546
85.5,0
85.6,0.089805195
85.7,0.065315639
85.8,0
85.9,0.044091139
86,0
86.1,0
86.2,0.211294983
86.3,0
86.4,0
86.5,0
86.6,0
86.7,0
86.8,0.044805909
86.9,0.205255817
87,0.035894805
87.1,0
87.2,0.111835564
87.3,0
87.4,0.04117409
87.5,0
87.6,0
87.7,0.15784626
87.8,0
87.9,0
88,0
88.1,0
88.2,0
88.3,0.136082904
88.4,0
88.5,0
88.6,0
88.7,0.021041561
88.8,0
88.9,0
89,0
89.1,0.053627063
89.2,0.196865688
89.3,0.114684518
89.4,0
89.5,0.109892482
89.6,0
89.7,0
89.8,0.128491497
89.9,0.024369205
90,0
90.1,0
90.2,0.020043254
90.3,0.123853843
90.4,0
90.5,0.074513681
90.6,0
90.7,0.120828526
90.8,0
90.9,0.102673455
91,0.172636566
91.1,0.035156859
91.2,0.027399369
91.3,0.026784262
91.4,0
91.5,0.036353105
91.6,0
91.7,0
91.8,0
91.9,0.171265128
92,0.043196603
92.1,0.031123999
92.2,0.187792264
92.3,0.102118839
92.4,0.060449475
92.5,0.091058032
92.6,0.116804269
92.7,0.084285507
92.8,0.05170021
92.9,0
93,0
93.1,0.019024079
93.2,0
93.3,0.148302313
93.4,0
93.5,0
93.6,0.055516066
93.7,0
93.8,0
93.9,0
94,0
94.1,0.078390346
94.2,0
94.3,0
94.4,0
94.5,0.149753626
94.6,0
94.7,0
94.8,0.003122483
94.9,0
95,0.104991947
95.1,0
95.2,0
95.3,0
95.4,0.108761142
95.5,0.0075352
95.6,0.045222742
95.7,0.151195063
95.8,0.284696727
95.9,0.132922765
96,0
96.1,0.085514655
96.2,0.236643744
96.3,0
96.4,0
96.5,0.12111584
96.6,0
96.7,0.051510244
96.8,0
96.9,0.105907219
97,0
97.1,0
97.2,0
97.3,0
97.4,0.039918878
97.5,0.267945398
97.6,0
97.7,0
97.8,0
97.9,0.024795988
98,0.124149166
98.1,0
98.2,0.224178489
98.3,0
98.4,0.128410594
98.5,0.067863125
98.6,0
98.7,0.031655207
98.8,0.019860188
98.9,0
99,0.087412394
99.1,0.036770565
99.2,0
99.3,0.079120559
99.4,0.021641376
99.5,0
99.6,0.03155059
99.7,0.06016548
99.8,0.235271796
99.9,0
100,0
100.1,0
100.2,0.171272853
100.3,0
100.4,0
100.5,0.039376625
100.6,0
100.7,0
100.8,0
100.9,0
101,0
101.1,0.109700494
101.2,0.20303598
101.3,0
101.4,0.130114831
101.5,0.072478438
101.6,0.084340447
101.7,0.020243528
101.8,0.285325521
101.9,0.062528729
102,0.093889887
102.1,0.154267482
102.2,0.060740956
102.3,0.029151765
102.4,0.175487401
102.5,0.025820649
102.6,0
102.7,0.128331972
102.8,0
102.9,0
103,0.159167109
103.1,0
103.2,0.012134539
103.3,0
103.4,0.247385517
103.5,0.06703166
103.6,0
103.7,0.062914084
103.8,0.138509043
103.9,0.17910959
104,0
104.1,0.243366618
104.2,0
104.3,0.127872264
104.4,0
104.5,0
104.6,0.042075276
104.7,0.009915375
104.8,0.042595033
104.9,0
105,0.040105475
105.1,0.032039398
105.2,0.096540865
105.3,0.10253571
105.4,0.073463634
105.5,0
105.6,0
105.7,0.004460686
105.8,0.055320335
105.9,0.116501452
106,0.045751143
106.1,0.016428363
106.2,0.036020531
106.3,0
106.4,0.096883683
106.5,0
106.6,0.030700439
106.7,0
106.8,0
106.9,0
107,0.043397922
107.1,0.055360908
107.2,0
107.3,0.075420187
107.4,0.024340727
107.5,0
107.6,0
107.7,0
107.8,0
107.9,0
108,0
108.1,0
108.2,0
108.3,0
108.4,0.125254953
108.5,0.01481593
108.6,0
108.7,0
108.8,0
108.9,0
109,0.048441606
109.1,0
109.2,0.136341756
109.3,0.072439806
109.4,0
109.5,0.054853216
109.6,0
109.7,0.339870971
109.8,0
109.9,0.113628844
110,0
110.1,0
110.2,0
110.3,0
110.4,0.049054454
110.5,0
110.6,0
110.7,0.102033223
110.8,0
110.9,0
111,0
111.1,0
111.2,0
111.3,0
111.4,0.03905199
111.5,0.182837837
111.6,0
111.7,0.032239323
111.8,0.113142507
111.9,0
112,0.011990013
112.1,0.019369403
112.2,0
112.3,0
112.4,0.048927719
112.5,0.182865575
112.6,0.121723526
112.7,0
112.8,0.034480994
112.9,0.125741681
113,0
113.1,0.069085482
113.2,0.085890547
113.3,0.029475997
113.4,0.092445131
113.5,0.002888647
113.6,0.010299711
113.7,0.224989438
113.8,0.139080404
113.9,0.390427
114,0.087371533
114.1,0.014031237
114.2,0
114.3,0.022068327
114.4,0.00303988
114.5,0.05883397
114.6,0
114.7,0.104516886
114.8,0.161918125
114.9,0.01069815
115,0
115.1,0
115.2,0.090283315
115.3,0
115.4,0.017906286
115.5,0.019326093
115.6,0
115.7,0
115.8,0.309211806
115.9,0
116,0
116.1,0
116.2,0
116.3,0
116.4,0.042673453
116.5,0.004671987
116.6,0
116.7,0
116.8,0
116.9,0.084317161
117,0.184548801
117.1,0.233633103
117.2,0
117.3,0.019390864
117.4,0
117.5,0
117.6,0.068761911
117.7,0.06875421
117.8,0.05247742
117.9,0.133022907
118,0
118.1,0.116514816
118.2,0.073760523
118.3,0
118.4,0
118.5,0.197198791
118.6,0
118.7,0
118.8,0.104848279
118.9,0
119,0
119.1,0.029454687
119.2,0
119.3,0.007931792
119.4,0.042265987
119.5,0
119.6,0
119.7,0.031732187
119.8,0.065344625
119.9,0.008910768
120,0
120.1,0
120.2,0
120.3,0
120.4,0.001316947
120.5,0.230812227
120.6,0.048659517
120.7,0.109490766
120.8,0.013263088
120.9,0
121,0
121.1,0
121.2,0
121.3,0.026988535
121.4,0.029349293
121.5,0
121.6,0.011829036
121.7,0
121.8,0.135634802
121.9,0.024538473
122,0
122.1,0
122.2,0.124074576
122.3,0.258925271
122.4,0
122.5,0
122.6,0
122.7,0.082590859
122.8,0
122.9,0.206453618
123,0
123.1,0
123.2,0.109298702
123.3,0.071681548
123.4,0.048169632
123.5,0.094671761
123.6,0.153758009
123.7,0.201419235
123.8,0.124802273
123.9,0
124,0
124.1,0
124.2,0
124.3,0.001731011
124.4,0
124.5,0
124.6,0.066654518
124.7,0.001686561
124.8,0.070089836
124.9,0.043049786
125,0.031257405
125.1,0
125.2,0.157798208
125.3,0.127889766
125.4,0.073631968
125.5,0.060812203
125.6,0.123251773
125.7,0.061799125
125.8,0.173115253
125.9,0.24849445
126,0.052496445
126.1,0.034154762
126.2,0.050792508
126.3,0.125707414
126.4,0
126.5,0.065454664
126.6,0.076803702
126.7,0
126.8,0
126.9,0
127,0.086793652
127.1,0.014064454
127.2,0.180420484
127.3,0.003397439
127.4,0.060827893
127.5,0.073185992
127.6,0
127.7,0
127.8,0.051456925
127.9,0
128,0
128.1,0.021248688
128.2,0
128.3,0.022469502
128.4,0.055565319
128.5,0.108980153
128.6,0.144961014
128.7,0.016228436
128.8,0.091732341
128.9,0.113214223
129,0.218038786
129.1,0.074684829
129.2,0.050278432
129.3,0
129.4,0
129.5,0.125905112
129.6,0
129.7,0
129.8,0
129.9,0
130,0.06049412
130.1,0
130.2,0.096104527
130.3,0
130.4,0
130.5,0
130.6,0
130.7,0
130.8,0
130.9,0
131,0
131.1,0.046567744
131.2,0
131.3,0
131.4,0.088642808
131.5,0.067304796
131.6,0.068454987
131.7,0
131.8,0
131.9,0.232093327
132,0.082905363
132.1,0
132.2,0
132.3,0
132.4,0
132.5,0.012845146
132.6,0
132.7,0
132.8,0.060740533
132.9,0.100057483
133,0.049701068
133.1,0.029710556
133.2,0.064648051
133.3,0
133.4,0.170989161
133.5,0
133.6,0.086686837
133.7,0.111142163
133.8,0.135251139
133.9,0
134,0.060193196
134.1,0.017719293
134.2,0.029472462
134.3,0
134.4,0
134.5,0
134.6,0.071062936
134.7,0
134.8,0
134.9,0
135,0
135.1,0.235407813
135.2,0.139663527
135.3,0.155542915
135.4,0.172418564
135.5,0
135.6,0.071349853
135.7,0
135.8,0
135.9,0.068902973
136,0.091085076
136.1,0.027694823
136.2,0
136.3,0
136.4,0.094023817
136.5,0
136.6,0
136.7,0.091202742
136.8,0
136.9,0.031600711
137,0.010865678
137.1,0
137.2,0
137.3,0.081257766
137.4,0
137.5,0.130162072
137.6,0.095116194
137.7,0.143949598
137.8,0
137.9,0.140168425
138,0.136439576
138.1,0.020189472
138.2,0.023890066
138.3,0.268251478
138.4,0
138.5,0
138.6,0
138.7,0
138.8,0
138.9,0
139,0
139.1,0
139.2,0.198172251
139.3,0.157384761
139.4,0.061303512
139.5,0
139.6,0
139.7,0
139.8,0.019239583
139.9,0
140,0
140.1,0
140.2,0.044686431
140.3,0.15505064
140.4,0
140.5,0
140.6,0
140.7,0
140.8,0
140.9,0.078209944
141,0
141.1,0
141.2,0
141.3,0
141.4,0.072133223
141.5,0
141.6,0.150076016
141.7,0
141.8,0.004493923
141.9,0.0756082
142,0
142.1,0.03182656
142.2,0.12963857
142.3,0
142.4,0
142.5,0.172915871
142.6,0.004416779
142.7,0
142.8,0.05670322
142.9,0.158325822
143,0.067506329
143.1,0.026155876
143.2,0
143.3,0.078634368
143.4,0.093403109
143.5,0
143.6,0.036151479
143.7,0
143.8,0.108959202
143.9,0
144,0
144.1,0.122919175
144.2,0.174645963
144.3,0.036105913
144.4,0.011278088
144.5,0.094993128
144.6,0.002194984
144.7,0
144.8,0.088300979
144.9,0.229399911
145,0.014713542
145.1,0.10277635
145.2,0
145.3,0
145.4,0
145.5,0.055617429
145.6,0
145.7,0.08319942
145.8,0
145.9,0.05835824
146,0.10197146
146.1,0.047547555
146.2,0
146.3,0.146032996
146.4,0.08215623
146.5,0
146.6,0.161437885
146.7,0
146.8,0.146287416
146.9,0.097669803
147,0.038545436
147.1,0.045568923
147.2,0
147.3,0.099213633
147.4,0.112705789
147.5,0
147.6,0.167721386
147.7,0.052722659
147.8,0.154903377
147.9,0.009227577
148,0
148.1,0.054187955
148.2,0.103979111
148.3,0.025764526
148.4,0
148.5,0.084491961
148.6,0
148.7,0
148.8,0
148.9,0.165286672
149,0
149.1,0.130816935
149.2,0.004475163
149.3,0
149.4,0
149.5,0
149.6,0.273218143
149.7,0.231236118
149.8,0.182187264
149.9,0.131429934
150,0.181619762
150.1,0
150.2,0
150.3,0
150.4,0
150.5,0.033396452
150.6,0.025282199
150.7,0.090210324
150.8,0.116753939
150.9,0.222205493
151,0.066257901
151.1,0
151.2,0.011695467
151.3,0
151.4,0.129946566
151.5,0.119010737
151.6,0.054908858
151.7,0.142840984
151.8,0.13637111
151.9,0
152,0.104847675
152.1,0
152.2,0
152.3,0.140551151
152.4,0
152.5,0
152.6,0.024350477
152.7,0
152.8,0
152.9,0.018585542
153,0.287287712
153.1,0
153.2,0.001725458
153.3,0
153.4,0
153.5,0.021252255
153.6,0
153.7,0
153.8,0
153.9,0.062718049
154,0.114670347
154.1,0
154.2,0.049048165
154.3,0
154.4,0
154.5,0
154.6,0
154.7,0.007079856
154.8,0.037931042
154.9,0
155,0
155.1,0
155.2,0
155.3,0
155.4,0
155.5,0.03583836
155.6,0
155.7,0.025651844
155.8,0
155.9,0
156,0
156.1,0
156.2,0
156.3,0.040904502
156.4,0.136457514
156.5,0
156.6,0
156.7,0
156.8,0.14725801
156.9,0.114628104
157,0
157.1,0
157.2,0.049803725
157.3,0
157.4,0
157.5,0.100741241
157.6,0.163044978
157.7,0.24862363
157.8,0.018072372
157.9,0.037408307
158,0.195152457
158.1,0
158.2,0
158.3,0
158.4,0.064148769
158.5,0.044573817
158.6,0.019626645
158.7,0.102163031
158.8,0.135005266
158.9,0
159,0
159.1,0
159.2,0
159.3,0.067910582
159.4,0.133278327
159.5,0.128926659
159.6,0
159.7,0.032242562
159.8,0.010703927
159.9,0
160,0.00648016
160.1,0
160.2,0
160.3,0
160.4,0
160.5,0.02144227
160.6,0.030049253
160.7,0.046447809
160.8,0.069377794
160.9,0.025138525
161,0
161.1,0.118908043
161.2,0
161.3,0.084930533
161.4,0.099164244
161.5,0.20202793
161.6,0.059370022
161.7,0.180419963
161.8,0
161.9,0.157757355
162,0.208275481
162.1,0
162.2,0.097315932
162.3,0.124353927
162.4,0.174398767
162.5,0.104150346
162.6,0.051309993
162.7,0.033413628
162.8,0.091045886
162.9,0
163,0
163.1,0
163.2,0.033380353
163.3,0.002046308
163.4,0.107548285
163.5,0
163.6,0
163.7,0.156062383
163.8,0.081703529
163.9,0.065583343
164,0
164.1,0.170053899
164.2,0
164.3,0
164.4,0.072535591
164.5,0
164.6,0
164.7,0
164.8,0
164.9,0
165,0.102404943
165.1,0
165.2,0
165.3,0
165.4,0.104453695
165.5,0.071613785
165.6,0
165.7,0.056568596
165.8,0
165.9,0.106581298
166,0.064296143
166.1,0
166.2,0.046027021
166.3,0.068021801
166.4,0.099066609
166.5,0.144685294
166.6,0
166.7,0.045140237
166.8,0.102073132
166.9,0
167,0
167.1,0
167.2,0
167.3,0.020230789
167.4,0
167.5,0.102374128
167.6,0.044290406
167.7,0.082886955
167.8,0
167.9,0.051797495
168,0
168.1,0
168.2,0
168.3,0
168.4,0.067260576
168.5,0
168.6,0
168.7,0.069052164
168.8,0.004261143
168.9,0.084464704
169,0
169.1,0.144446367
169.2,0
169.3,0.072109167
169.4,0.028917003
169.5,0.01700293
169.6,0.133051084
169.7,0.042120224
169.8,0.114261126
169.9,0.040885866
170,0.215840945
170.1,0.14925015
170.2,0.052750747
170.3,0
170.4,0
170.5,0.114439317
170.6,0.069633576
170.7,0
170.8,0.0567078
170.9,0.038903861
171,0
171.1,0.108866787
171.2,0.169549574
171.3,0.142588963
171.4,0.154194959
171.5,0.017628407
171.6,0
171.7,0
171.8,0
171.9,0.133255565
172,0.07644425
172.1,0.00213297
172.2,0
172.3,0
172.4,0.039464017
172.5,0.086360367
172.6,0
172.7,0.012414326
172.8,0.077919406
172.9,0.09501429
173,0
173.1,0.150124364
173.2,0
173.3,0.22738568
173.4,0.064257447
173.5,0.321863919
173.6,0.207831961
173.7,0.084007371
173.8,0.053681527
173.9,0.122193054
174,0
174.1,0.015147153
174.2,0
174.3,0.099154782
174.4,0.013325847
174.5,0.154250678
174.6,0
174.7,0.090838
174.8,0
174.9,0
175,0
175.1,0
175.2,0.053867375
175.3,0.112155484
175.4,0.073587727
175.5,0.052622565
175.6,0.123249086
175.7,0.101018478
175.8,0.055087537
175.9,0
176,0
176.1,0
176.2,0
176.3,0
176.4,0
176.5,0.019199019
176.6,0
176.7,0
176.8,0.246435719
176.9,0.143177681
177,0.046126886
